name,red,green,blue,alpha,id
Something_A,142,1,246,255,0
Something_B,232,250,80,255,1
Something_C,0,0,0,255,2
Something_D,187,70,156,255,3
Something_E,184,145,182,255,4
Something_F,112,105,191,255,5
Something_G,105,127,176,255,6
Something_H,234,20,250,255,7
Something_I,81,13,36,255,8
Something_J,131,182,184,255,9
Something_K,115,176,195,255,10
Something_L,156,198,23,255,11
Something_M,65,54,217,255,12
Something_N,180,191,29,255,13
Something_O,16,154,4,255,14
Something_P,11,236,9,255,15
Something_Q,211,80,208,255,16
R,228,142,81,255,17
S,229,141,203,255,18
T,162,203,118,255,19
U,175,6,140,255,20
V,195,237,132,255,20
W,15,241,102,255,20
X,214,92,13,255,20
Z,181,213,93,255,20
AA,203,102,204,255,3
AB,183,10,186,255,5
AC,99,242,104,255,6
AD,244,117,51,255,7
AE,178,221,213,255,8
AF,149,111,207,255,7
AG,20,99,179,255,12
